Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1.0,8784.0,Springside West Secondary College,Secondary,O,70 City Vista Court,,Fraser Rise,VIC,3336.0,70 City Vista Court,,Fraser Rise,VIC,3336.0,03 8357 7100,465.0,Melton (C),144.72787,-37.71569
Government,1.0,8787.0,Taylors Lakes Secondary College,Secondary,O,1-39 Parmelia Drive,,Taylors Lakes,VIC,3038.0,P O Box 2374,,TAYLORS LAKES,VIC,3038.0,03 9390 3130,118.0,Brimbank (C),144.7944,-37.70741
Government,1.0,8790.0,Sunshine College,Secondary,O,25A Lachlan Road,,Sunshine West,VIC,3020.0,P O Box 165,,SUNSHINE,VIC,3020.0,03 8311 5200,118.0,Brimbank (C),144.81382,-37.79316
Government,1.0,8791.0,Wallan Secondary College,Secondary,O,100 Duke Street,,Wallan,VIC,3756.0,P O Box 305,,Wallan,VIC,3756.0,03 5783 0300,485.0,Mitchell (S),144.98147,-37.41839
Government,1.0,8797.0,Thornbury High School,Secondary,O,238 Collins Street,,Thornbury,VIC,3071.0,238 Collins Street,,Thornbury,VIC,3071.0,03 9480 4066,189.0,Darebin (C),145.02521,-37.75649
Government,1.0,8798.0,Portland Secondary College,Secondary,O,170 Must Street,,Portland,VIC,3305.0,P O BOX 452,,PORTLAND,VIC,3305.0,03 5523 1344,241.0,Glenelg (S),141.59482,-38.35882
Government,1.0,8799.0,Copperfield College,Secondary,O,Goldsmith Avenue,,Delahey,VIC,3037.0,Goldsmith Avenue,,DELAHEY,VIC,3037.0,03 9307 5555,118.0,Brimbank (C),144.77243,-37.71946
Government,1.0,8800.0,Bayside P-12 College,Pri/Sec,O,29-69 Kororoit Creek Road,,Williamstown,VIC,3016.0,P O Box 515,,ALTONA NORTH,VIC,3025.0,03 9393 5800,311.0,Hobsons Bay (C),144.88521,-37.8577
Government,1.0,8801.0,South Oakleigh Secondary College,Secondary,O,Bakers Road,,Oakleigh South,VIC,3167.0,PO Box 116,,OAKLEIGH SOUTH,VIC,3167.0,03 9579 2322,497.0,Monash (C),145.08977,-37.92232
Government,1.0,8802.0,Swan Hill College,Secondary,O,10 - 32 Pye Street,,Swan Hill,VIC,3585.0,P O Box 1440,,SWAN HILL,VIC,3585.0,03 5036 4900,661.0,Swan Hill (RC),143.55285,-35.33523
Government,1.0,8803.0,Traralgon College,Secondary,O,154-184 Grey Street,,Traralgon,VIC,3844.0,P O Box 1790,,TRARALGON,VIC,3844.0,03 5176 2240,381.0,Latrobe (C),146.51949,-38.19142
Government,1.0,8804.0,Mornington Secondary College,Secondary,O,1051 Nepean Highway,,Mornington,VIC,3931.0,Locked Bag 5,,MORNINGTON,VIC,3931.0,03 5970 0200,534.0,Mornington Peninsula (S),145.05776,-38.21671
Government,1.0,8806.0,Essendon Keilor College,Secondary,O,Quinn Grove,,Keilor East,VIC,3033.0,P O Box 142,,NIDDRIE,VIC,3042.0,03 8331 0109,506.0,Moonee Valley (C),144.86971,-37.73971
Government,1.0,8807.0,Brunswick Secondary College,Secondary,O,47 Dawson Street,,Brunswick,VIC,3056.0,47 Dawson Street,,BRUNSWICK,VIC,3056.0,03 9387 6133,525.0,Merri-bek (C),144.95501,-37.7709
Government,1.0,8808.0,Glen Waverley Secondary College,Secondary,O,13-21 O'Sullivan Road,,Glen Waverley,VIC,3150.0,Private Bag 4194,,Glen Waverley,VIC,3150.0,03 8805 6700,497.0,Monash (C),145.16211,-37.8781
Government,1.0,8809.0,Monterey Secondary College,Secondary,O,Silvertop Street,,Frankston North,VIC,3200.0,Silvertop Street,,FRANKSTON NORTH,VIC,3200.0,03 9781 7700,217.0,Frankston (C),145.14772,-38.12612
Government,1.0,8811.0,Warrnambool College,Secondary,O,Grafton Road,,Warrnambool,VIC,3280.0,P O Box 442,,Warrnambool,VIC,3280.0,03 5564 4444,673.0,Warrnambool (C),142.49968,-38.37672
Government,1.0,8812.0,Viewbank College,Secondary,O,1 Warren Road,,Viewbank,VIC,3084.0,P O Box 264,,ROSANNA,VIC,3084.0,03 9458 2811,66.0,Banyule (C),145.08659,-37.7412
Government,1.0,8813.0,Noble Park Secondary College,Secondary,O,3 Callaghan Street,,Noble Park,VIC,3174.0,3 Callaghan Street,,NOBLE PARK,VIC,3174.0,03 9546 9066,267.0,Greater Dandenong (C),145.18237,-37.97021
Government,1.0,8814.0,Baimbridge College,Secondary,O,59 Mt Baimbridge Rd,,Hamilton,VIC,3300.0,59 Mt Baimbridge Rd,,HAMILTON,VIC,3300.0,03 5572 2788,626.0,Southern Grampians (S),142.01463,-37.73331
Government,1.0,8815.0,Yarra Hills Secondary College,Secondary,O,16 Reay Road,,Mooroolbark,VIC,3138.0,P O Box 42,,MOOROOLBARK,VIC,3138.0,03 9839 8800,745.0,Yarra Ranges (S),145.31618,-37.78934
Government,1.0,8816.0,Heathmont College,Secondary,O,Waters Grove,,Heathmont,VIC,3135.0,Waters Grove,,HEATHMONT,VIC,3135.0,03 9871 4888,441.0,Maroondah (C),145.2321,-37.83843
Government,1.0,8818.0,Horsham College,Secondary,O,310 Baillie Street,,Horsham,VIC,3402.0,P O Box 508,,HORSHAM,VIC,3402.0,03 5381 7100,319.0,Horsham (RC),142.1841,-36.71166
Government,1.0,8819.0,Melbourne Girls College,Secondary,O,Yarra Boulevard,,Richmond,VIC,3121.0,Yarra Boulevard,,RICHMOND,VIC,3121.0,03 9428 8955,735.0,Yarra (C),145.01433,-37.82251
